Suggestions for improvement,cluster
"Họp hơi nhiều do làm việc với team bên Nhật, và chưa có nhiều bánh kẹo để mọi người ăn ^^",0
"Hiện tại thấy công ty rất OK, hy vọng sẽ có nhiều member hơn trong tương lai. Để c.ty ngày càng phát triển.",1
Công ty nên có thêm vài khoá học cho Dev để cải thiện trình độ cũng như giúp công ty phát triển hơn.,1
Lương chưa thật sự cạnh tranh so với mặt bằng chung,1
Device xịn xò hơn,2
Vì đây là công ty offshore của Nhật nên bạn không có cơ hội có thể giao tiếp tiếng anh trong công việc.,0
"Ưu tiên nhân viên cũ hơn nhân viên mới, có nhiều thay đổi hơn để refresh cho các nhân viên cũ, như trang bị máy móc mới, tăng lương, thưởng ...vv",1
"Bãi đậu xe quá chật, bảo vệ chuyên nhồi nhét xe cực sát, mỗi lần về trưa lấy xe ra là 1 cực hình",2
"- Sếp chả biết gì mà hay chê bai
- Đồng nghiệp ảo giác sức mạnh
- Hay hạ lương sau thử việc hoặc không báo sớm kết quả 1 tháng như cam kết",0
"- Sếp chả biết gì mà hay chê bai
- Đồng nghiệp ảo giác sức mạnh
- Hay hạ lương sau thử việc hoặc không báo sớm kết quả 1 tháng như cam kết",0
"Bãi giữ xe đông, cũng có leader khó tính nhưng tùy người",2
"Bãi giữ xe đông, cũng có leader khó tính nhưng tùy người",2
"Sếp không biết thông cảm và thấu hiểu, quá hám danh hám lợi. Lúc nào cũng chê này chê nọ.
OT điên cuồng không có lương thêm, hỗ trợ gì. Đòi hỏi trách nhiệm nhưng không đề cập quyền lợi cho nhân viên (trừ cấp quản lý).",1
"Hơi áp lực
Văn phòng nhỏ
Lương không cao lắm
Ít phúc lợi",0
Hiện tại công ty đang theo quy trình scrum. Nhưng vì có nhiều thứ phụ thuộc phía Nhật nên cũng không hẳn như scrum. Nên cải thiện phần trao đổi với bên Nhật để tăng hiệu quả. Có những thời điểm dự án hơi ít.,0
- Dàn core team và manager chưa thật sự giỏi để lèo lái công ty đi đến những mục tiêu xa hơn.,1
"- Ít cơ hội thăng tiến.
- Văn phòng hơi nhỏ, ít cây xanh.",2
"Không gian văn phòng hơi bí bách, mong rằng sẽ có thêm cây xanh.",2
"Thêm nhiều lớp học đào tạo hơn nữa. Để nhân viên mới hoặc nhân viên cũ đều có thể tham gia học hỏi, phát triển.",1
Need to be serious in the recruitment process. Focus more on the candidate's profile and make careful before giving the final decision,3
"- Cơ hội phát triển chiều dọc cho từng cá nhân
- Mong được chuyển sang văn phòng to hơn",2
"Công ty nhỏ nên sẽ cần thời gian để hoàn thiện về mặt quy trình, nhưng nhìn chung tốc độ phát triển tốt, xứng đáng để gắn bó",0
Hiện chưa nghĩ ra điều gì để cải thiện. Nếu có để lần sau feedback tiếp,1
"Không có đóng góp gì, vì quá tuyệt với đối với mình. Đã gắn bó 3 năm nới này.",1
"Sếp có thể quan tâm nhiều hơn đến nhân viên, chia sẻ về tầm nhìn, định hướng và các kế hoạch sắp tới thường xuyên hơn.",1
"Sếp ít quan tâm đến anh em dev.
Văn phòng làm việc nhỏ.",1
Bãi giữ xe còn hơi chật do số lượng nhân viên ngày càng đông,2
"Wifi thỉnh thoảng hơi yếu, hy vọng công ty sớm khắc phục",2
"Nhà xe hơi nhỏ, cần mở rộng thêm nhưng đươc cái cơ sở vật chất khá tốt, đẹp và hiện đại",2
"Bãi giữ xe toà nhà hơi nhỏ nhưng được cái văn phòng khá đẹp, thoải mái
Còn lại thì thấy ok",2
"- Wifi lâu lâu không ổn định
- Có thêm nhiều khu vực nghỉ trưa cho nhân viên",2
"- Wifi lâu lâu không ổn định
- Có thể có thêm nhiều khu vực nghỉ trưa cho nhân viên",2
"- Bãi giữ xe hơi nhỏ
- Ngoài ra thì mình thấy mọi thứ ok, các nhân viên trong tòa nhà cũng dễ thương :D",2
"Mình thấy khá ổn với cách vận hành hiện tại, nên chưa nghĩ ra có điểm gì chưa hài lòng",1
"Mong công ty giữ được tinh thần hiện tại và phát triển tốt hơn nữa, chứ bản thân mình không có góp ý gì thêm",1
"Mọi thứ đối với mình đã ổn, chưa có gì để phàn nàn",1
Nghe nói có phòng tập gym nhưng từ lúc vào tới giờ chưa thấy. Chờ có phòng gym để anh em ra tập.,2
"Lò vi sóng hơi ít vì số lượng nhân viên ngày càng tăng, hy vọng công ty sẽ đầu tư thêm",1
"Cần trang bị thêm bàn ăn và lò vi sóng, tránh ùn tắc vào giờ ăn trưa :)",2
"- Giao tiếp không tốt, thông tin không được đưa rõ ràng",0
"Hy vọng có thêm khu vực riêng để mọi người giải trí và rèn luyện thể chất: tập yoga, kick-boxing, chơi board game... Ngoài ra mình thấy mọi thứ khá ok",2
"Chỗ ngồi hơi dày nhau, nên tăng thêm bàn ghế và không gian làm việc",2
"Chỗ ngồi hơi dày nhau, nên tăng thêm bàn ghế và không gian làm việc",2
"- Ghế hơi sida.
- Thiếu liên kết giữa các team, tuy ăn chơi làm cùng nhau rất nhiệt tình, nhưng mình vẫn thấy gì đó thiếu thiếu.",2
"- Ghế hơi sida.
- Thiếu liên kết giữa các team, tuy ăn chơi làm cùng nhau rất nhiệt tình, nhưng mình vẫn thấy gì đó thiếu thiếu.",2
"- Ghế hơi sida.
- Thiếu liên kết giữa các team, tuy ăn chơi làm cùng nhau rất nhiệt tình, nhưng mình vẫn thấy gì đó thiếu thiếu.",2
"- Ghế hơi sida.
- Thiếu liên kết giữa các team, tuy ăn chơi làm cùng nhau rất nhiệt tình, nhưng mình vẫn thấy gì đó thiếu thiếu.",2
"chưa thấy ra ""điều bạn không thích"" ở athena là gì, nhưng phải viết dài như vầy vì phải đủ 50 kí tự",1
"chưa thấy ra ""điều bạn không thích"" ở athena là gì, nhưng phải viết dài như vầy vì phải đủ 50 kí tự",1
"chưa thấy ra ""điều bạn không thích"" ở athena là gì, nhưng phải viết dài như vầy vì phải đủ 50 kí tự",1
"chưa thấy ra ""điều bạn không thích"" ở athena là gì, nhưng phải viết dài như vầy vì phải đủ 50 kí tự",1
Văn phòng hơi cũ và bé. Điều hoà đôi khi hơi buốt.,2
"nên có thang máy chứ leo bộ hơi mỏi giò, máy lạnh lạnh tê tái suốt 4 mùa",2
"- Công ty chưa có lương tháng 13 nhưng vẫn có khoản bonus hàng năm
- Văn phòng không có thang máy",1
"Không có tháng lương 13, máy lạnh có nơi hơi lạnh
Quy trình làm việc đang dần xây dựng, cần có nhiều tài liệu cho nhân viên mới hơn",0
"Công nghệ dễ, ít cơ hội va chạm
Giờ làm từ 8:00 đến 17:00, cần có chính sách linh động hơn",0
"- Công ty cần tuyển thêm nhiều senior dev
- Nên decor văn phòng đẹp hơn chút",2
"Hiện tại có khá nhiều mem mới khá trầm tính, ít giao tiếp với ae nên khá xa cách. Vì thế công ty nên trích một khoản nho nhỏ để đi chơi gần hoặc ăn uống để ae có thể gắn kết hơn.",1
Cải thiện về phần party công ty một chút thì sẽ tuyệt vời hơn,1
"AZoom Vietnam vẫn còn non trẻ ở ở Việt Nam do vậy sẽ còn nhiều vấn đề trong việc vận hành và mở rộng, xây dựng một văn hoá lành mạnh, vui vẻ, trẻ chung chính là việc công ty cần hoàn thiện từng ngày.",2
Nếu có thể chuyển địa điểm làm việc về hồ chí minh thì ngon luôn à nha,2
Có thể mở lại chi nhánh HCM sẽ thuận tiện hơn cho anh em.,2
"Nếu công ty mở lại chi nhánh ở HCM thì tốt gần nhà hơn, nhưng mức lương khi làm xa thì lại cao hơn",1
"Trải nghiệm tốt, đồng nghiệp vui vẻ hòa đồng mặc dù đi làm xa nhưng có ngày phép thường xuyên để về",0
"Cải thiện thêm về chất lượng đào tạo nhân viên, gia tăng thêm nhiều khóa đào tạo trong công ty",1
Nhiều sản phảm mình sẽ phải tự sáng tạo ra khá là mệt não đó nhưng như thế lại có tiền đề để sau này mình lên làm lead,0
"Team nhiều fresher, và còn lại là team leader, thiếu developer tầm trung",1
Nâng cấp traning dành cho nhân viên mới fresher mới,1
Lương thưởng cần cải thiện tốt hơn. Tăng mức phụ cấp cho một số dự án phải đi onsite công ty khách hàng trong nước.,0
"Chế độ phúc lợi của công ty còn hơi hạn chế, xét tăng lương chỉ 1 lần 1 năm.",0
Dự án outsource hơi chán. Đóng BH chỉ ở mức cơ bản,0
"Cần cải thiện mục đánh giá năng lực theo dự án thường xuyên hơn là theo quý (recommend theo tháng) thuận cho việc bonus.
Training còn chưa bám sát dự án.",2
"Cải thiện quy trình làm việc.
Cho nhân viên xài linux hoặc macbook",1
"Không có gì cần cải thiện vì môi trường làm việc vui vẻ, hòa đồng.",2
"career path cho nhân viên onsite cần được tạo ra, quan tâm nhân viên onsite hơn. nhân viên onsite gần như là con rơi con rớt",1
"mình làm ở chi nhánh ĐN.
chưa có bộ máy quản lý riêng, phụ thuộc trụ sở chính ở TPHCM, nên nhiều cái ko chặt chẽ, ko rõ ràng. lương ko cao. nhân sự trẻ nên thấy code không clean lắm, khó bảo trì và phát triển. dự án cũng khá chán.",0
"Thêm thưởng, đóng bảo hiểm full lương, nên hỗ trợ nhân viên laptop bền hơn.",1
"Tang thuong nhieu hon,",0
"Lương thì ok nhưng thưởng thì không có, đóng bảo hiểm full lương thì ngon",0
Cai thien quy trinh lam viec. Nen flexible voi dev hon.,3
"Tiếng nhạc công ty đầu giờ chiều sau buổi trưa bật nghe khá ảm ảnh.
Outsource nên total package không cao, đừng nhìn vào monthly nhé. Bảo hiểm cũng thấp.
Training thì cho có lệ thôi.
Outsource của outsource nên cũng chả lên skills được gì.
Đa số là rớt Renesas, Bosch, Fsoft hoặc chả có công ty nào nhận mới vào đây.
Làm 4 tháng thấy team members trình độ kém quá nên quit, English cũng kém. Đã vậy còn bị hoang tưởng về khả năng.",0
"Cần tăng mức thưởng dự án, trả tiền OT đúng hạn, ...",0
Cần system training chuyên nghiệp hơn cho người mới,1
"Remote máy tới VP hơi chậm, thi thoảng bị lỗi.Mong muốn được cấp máy cho người mới",2
"nên bắt đầu thay đổi từ dàn lãnh đạo, nếu không còn mất người dài dài",1
"Lương mức chấp nhận được, onsite nên phụ thuộc vào khách hàng là chính",0
Cần quan tâm nhiều hơn đến career path của nhân viên,1
"Không thưởng khác ngoài lương tháng 13 (làm trên 6 tháng)
WFH cắt giảm trợ cấp",0
Cần cải thiện quy trình training cho nhân viên mới vào,1
"Chương trình training chưa được bài bản lắm , chủ yếu là on job training và tự bơi
Không gian nhỏ và hơi tù túng",2
"Chưa nghĩ ra nên không biết viết gì ở đây, sợ không đúng.",1
Nên có chế độ thưởng cho nhân viên hợp lý hơn. Quá trình training nên được cải thiện giúp cho người mới dễ định hướng hơn.,1
"Văn phòng ngày càng đông hơn, tuyển thêm người liên tục, tuần nào cũng có on-board, không nhớ hết mặt; lính mới nhiều, training ầm ầm chóng cả mặt",0
"Không có chỗ ngủ trưa, mùa nắng thì máy lạnh hơi nóng.",2
Thời điểm này nhiều người mới vào nên phải meeting training liên tục khá nhiều và mệt.,0
Thời điểm này nhiều người mới vào nên phải meeting training liên tục khá nhiều và mệt.,0
"- Mình làm ở khâu integrate nên áp lực tăng dần khi thời hạn deadline càng đến gần
- Sếp ít hỏi han và giúp định hướng lộ trình nghề nghiệp",0
"- Không có chỗ nghỉ trưa
- Cần cải thiện phần estimation",2
"- Không có chỗ nghỉ trưa
- Cần cải thiện phần estimation",2
"Benefit chưa nhiều, môi trường chưa sử dụng nhiều tiếng Anh nên khó trau dồi ngoại ngữ.",0
Nhân viên mới làm việc dưới 6 tháng không được thưởng tháng 13.,1
"Policy không ổn định hay thay đổi, không có training bài bản,",0
- Cần phải cải thiện về cách quản lý................,1
"Quy trình chưa ổn, còn nhiều lộn xộn,
Hay phải đi onsite",0
"Chỗ gửi xe quá xa
Công ty phát triển nhanh nên cần mở rộng văn phòng hơn",2
"Chỗ gửi xe quá xa
Công ty phát triển nhanh nên cần mở rộng văn phòng hơn",2
"Chỗ gửi xe quá xa
Công ty phát triển nhanh nên cần mở rộng văn phòng hơn",2
"I'd like to have more spacious working space, also more flexible working hour.",3
"- Hiện tại thì chưa hỗ trợ thi các chứng chỉ quốc tế, nhưng có hỗ trợ học khoá học tương ứng
- Môi trường hơi yên ắng, không thật sự phù hợp với các bạn nói nhiều như mình",2
"Lương tương xứng với đóng góp của bạn. Khỏi lo bị chèn ép, các xếp rất cởi mở để thảo luận nếu bạn đóng góp nhiều sếp sẵn sàng tăng lương.",1
Phúc lợi đang có xu hướng thắt chặt hơn trong những năm gần đây,0
Văn phòng hơi tối và cũ nhưng có thông báo đổi văn phòng nên cũng ổn,2
Văn phòng hơi tối. Nhưng bù lại khuôn viên phần mền thoáng mat,2
"- The recruitment process should be improved to not just hire talented but also passionate people who do care about providing the best solutions to the clients.
- There are some people who are dishonest, just want to take shortcuts, write terrible code, cause issues that others have to fix for them.",3
"- Better salary package, need more talented people",3
"Thời gian họp hành khá nhiều.
Nơi làm việc khá xa trung tâm, tòa nhà cũ, toilet dơ và ko dc vệ sinh cho lắm.
Khá ít option cho việc ăn uống buổi trưa.",2
"Thời gian họp hành khá nhiều.
Nơi làm việc khá xa trung tâm, tòa nhà cũ, toilet dơ và ko dc vệ sinh cho lắm.
Khá ít option cho việc ăn uống buổi trưa.",2
"Thời gian họp hành khá nhiều.
Nơi làm việc khá xa trung tâm, tòa nhà cũ, toilet dơ và ko dc vệ sinh cho lắm.
Khá ít option cho việc ăn uống buổi trưa.",2
"- Sep khong thuc quan tam nhan vien.
- Cong ty nho nen co 1 vai ca nhan kha ich ky.
- Doi xu phan biet khi ban xin nghi den khi roi cong ty",3
"Nếu ai thích cầm tay chỉ việc thì mk nghĩ môi trường ko phù hợp. Ở công ty mn rất chủ động trong công việc, linh hoạt, thích ứng nhanh với sự thay đổi",0
Requirement thay đổi nhiều dẫn tới hay bị overload.,0
Lương tăng chậm. Công việc không có quy trình rõ ràng. Không học hỏi được nhiều.,0
"Nhiều khi 1 vẫn đề nhỏ nhưng người này đẩy trách nhiệm cho người kia. Không có quy trình làm việc rõ ràng, rất mơ hồ. Đặc biệt chỉ được im lặng làm theo, nếu có ""ý kiến"" có thể sẽ bị đuổi việc ngay.
Có OT nhưng có được duyệt hay không là một câu chuyện khác",0
"Dự án nhiều nên thấy mấy quản lý cũng hay cáu gắt, lúc khác thì bt",1
"Sếp trao đổi nhiều hơn về lộ trình dự án
Nếu OT cuối tuần thì nên có kế hoạch trước vài ngày để mọi người thu xếp thời gian",0
"Có thể bị buộc thôi việc bất cứ lúc nào, cần thì gọi không cần thì đuổi, nợ lương gần 10 nhân viên chi nhánh chưa trả
Sếp bắt OT và bảo có trả lương nhưng tới lúc duyệt lương thì không đồng ý, thậm chí lương tháng còn không trả",0
"Sếp cần chia sẻ về dự án nhiều hơn cho anh em
Cần nhiều hoạt động teambuilding hơn",1
"Sếp cần chia sẻ về dự án nhiều hơn cho anh em
Cần nhiều hoạt động teambuilding hơn",1
"Sếp cần chia sẻ về dự án nhiều hơn cho anh em
Cần nhiều hoạt động teambuilding hơn",1
"Sếp cần chia sẻ về dự án nhiều hơn cho anh em
Cần nhiều hoạt động teambuilding hơn",1
- Phong trào training thực hiện chưa được hiệu quả,0
Các hoạt động ngoại khóa ít. Ngoài ra cũng ko có nhiều các khóa traning,2
Các hoạt động ngoại khóa ít. Ngoài ra cũng ko có nhiều các khóa traning,2
"OT nhiều và bị giới hạn mức lương
Không có các hoạt động teambuilding, chỉ code và code",1
"Discipline, more opportunities to lead and develop skills for people",3
Company should find more challenging project for associates to improve there skill set,3
"The company internal teams and cross-nation teams can be benefit when making clear nad honest of the headcount on a project to avoid overload developers, especially freshers.",3
"Lương bổng cần cải thiện
Còn lại thì đều tốt không có gì để bàn",1
"Ban lãnh đạo cần xem xét việc tuyển intern nhưng cho làm việc tay chân, sau đó không giữ lại. Dự án internal không được đầu tư nên thích thì làm, requirement ko rõ ràng, công nghệ cũ nhưng sếp quyết không đổi, không ra được output.",1
Unneccessary activities and processes. Training is not planned for everyone.,3
"Two much training session , complex piracy, if you new member you have to spend much time for adapting",3
"Nhiều project chán, chủ yếu sửa config xml chứ không được code nhiều. Tool xài của IBM nhiều dễ gây ức chế, nhất là phải remote vào 1 cái PC ảo để sửa DOORS chậm kinh dị.",2
"Workload is too high in some groups, sometimes cannot balance between work and family",3
"The company internal teams and cross-nation teams can be benefit when making clear nad honest of the headcount on a project to avoid overload developers, especially freshers.",3
Cần có thêm các khoá học chuyên môn để nâng cao kĩ năng của nhân viên,1
"môi trường làm việc tốt, chế độ đào tạo tốt, phù hợp cho fresher và intern",0
chế độ đánh giá và review lương rõ ràng hơn hiện tại,1
Have actual metrics to measure the performance of your employees. We have had our remote work taken away due to a singular bad incident which is not indicative of our entire division.,3
Dự án sẽ không phù hợp cho anh em software phát triển lắm,0
"Hiện tại mọi thứ ổn, chưa thấy khuyết điểm cần cải thiện",1
Career Development Pathways: Clearly defined career pathways and more frequent performance reviews could help employees better understand their growth opportunities and progress within the company,3
Không có gì cần phàn nàn Không có gì cần phàn nàn Không có gì cần phàn nàn Không có gì cần phàn nàn Không có gì cần phàn nàn,1
"Lương bèo bọt , dự án đa phần cũ kĩ , quy trình và tác phong làm việc không nghiêm ngặt",0
"Không cần gì phải cải thiện nữa, mọi thứ rất tốt và hài lòng",1
cần cải thiện về các process của dự án và cách đưa người vào dự án một cách phù hợp hơn,0
"Hr ko chuyên nghiệp, không phản hồi khi cần ( với cả nhân viên và ứng viên bên ngoài)",1
Với trải nghiệm của mình tại công ty thì mình vẫn chưa thấy vấn để gì quá lớn để phải chê.,2
"quá trình tăng lương cho nhân viên cần đẩy nhanh hơn, nhiều % hơn",1
Hiện tại chưa thấy điều gì cần cải thiện thêm ở công ty.,1
Cần cải thiện các chương trình training cho người mới.,1
I think the company should provide more accounts for learning on educational platform.,3
"Mấy ông DM mà thái độ và cách hành xử như kiểu sếp bự lắm
Chính trị và kèn cựa nhau rất nhiều
Manager người Việt chủ yếu sống lâu lên lão làng, khả năng và tầm không tương xứng
Phù hợp để an cư",1
Do chỉ là một intern nên cũng không biết phải đề nghị gì cả. Chung quy mọi thứ hiện tại cũng khá,1
"Cấu hình máy tính hơi yếu chút.
Chỉ có 1 đợt review lương mỗi năm",1
"không có gì để phàn nàn, nếu ở lâu thì thăng tiến chậm.
mức lương trung bình",0
mọi thứ hiện tại đều ổn. Văn phòng Hà Nội đang mở rộng.,2
"- Máy làm việc cấu hình hơi yếu, máy bàn i5 ram 8GB, laptop dell thinkpad, màn cũng thường
- Lương hơi thấp so với thị trường",2
vì môi trường quá chính trị nên từ cấp trên đến cấp dưới đều ko thực lòng và ko bảo vệ nhau,0
"- Nên tăng lương lên mức cao hơn so với mặt bằng chung
- Cần tập trung phát triển roadmap, chuyên môn cho nhân viên làm lâu dài hơn thay vì học quá nhiều tech linh tinh ko phù hợp, lan man
Nên OT tự nguyện và chi trả lương OT đầy đủ, không nên đưa NV vào trường hợp buộc phải OT để hoàn thành task",0
"- Quy trình OB rườm rà. Nói nhiều vấn đề không liên quan hoặc không cần thiết
- Quy trình làm việc khá rườm rà và gây mất thời gian. Nên bớt process lại để thúc đẩy công việc nhanh hơn",0
"Dự án nhàm chán, không còn học được nhiều như trước",0
"- Vì quy mô công ty lớn nên có nhiều process được xử lý khá lâu
- Đặt tiêu chuẩn khá cao với nhân viên nhưng lương tầm trung bình so với thị trường
OT chỉ được trả tiền khi khách hàng yêu cầu. Đối với những dự án internal thì sẽ là OT tự nguyện khi cháy dự án.",0
Dự án không quá nhàm chán ............................,0
"Dự án maintenance hoặc không có dự án.
Ít senior team Data Visualization --> không có mentor, không định hướng rõ ràng",1
"- Salary is lower compared to newer IT companies, but it is still the current base salary of an intern.
- Interns only receive Desktops, not laptops. Hence, cannot work-from-home",3
"- Nhiều khóa training không cần thiết
- Tùy project mà techical sử dụng có tốt không, đa phần là sử dụng công nghệ cũ",0
Lương và phúc lợi ở mức trung bình. Chịu ảnh hưởng từ Ấn.,0
"Hồi trước công ty mang tiếng dụ onsite (đa số ở Ấn) để úp sọt nhân viên. Lí do là lương bèo nên nhân viên nhảy việc nhiều. Dùng chiêu onsite để níu chân người ta. Sau dịch thì hình như dẹp vụ đi Ấn rồi.
Team có team ko",0
"dự án khi có OT khá áp lực, công việc khá nhiều (đôi khi giống bóc lột)
ít khi được OT, làm việc quá giờ chỉ được voucher, thường chỉ được OT vào cuối tuần khi trong tuần làm sấp mặt nhưng vẫn không kịp",0
Lương trung bình. Managers không có khả năng quản lý và kỹ thuật.,0
"Họp quá nhiều, chiếm chắc phải 60-70% giờ làm. Đa phần dự án đều long-term nên ít có cơ hội va chạm với nhiều lĩnh vực.",0
